Rank,TICK,TICK_LON,Company,Market,Volyme,Market Cam,marketcap,PRICE,VOLUME,volumeavg,high52,change,IF VOL > 5XAVG -> TRUE,IF VOL > 10XAVG -> TRUE
40,SMT,LON:SMT,Scottish Mortgage Investment Trust,FTSE 100,827.20,"11,574.5",11851387590,"883,56",1106015,4907264,"899,8","5,6",FALSE,FALSE
41,INF,LON:INF,Informa,FTSE 100,806.00,"11,011.1",11530169741,"851,8",493263,3843880,862,"3,4",FALSE,FALSE
42,RTO,LON:RTO,Rentokil Initial,FTSE 100,425.00,"10,720.8",10623259803,"421,3",8489034,7404715,"41,55","0,37",FALSE,FALSE
43,SGRO,LON:SGRO,Segro,FTSE 100,869.00,"10,667.9",11993481646,"887,4",556416,3200852,"0,1","-0,01",FALSE,FALSE
44,BT.A,LON:BT.A,BT Group,FTSE 100,107.00,"10,646.3",11086636209,"111,45",19995427,24095954,"165,49","2,55",FALSE,FALSE
45,BNZL,LON:BNZL,Bunzl,FTSE 100,"3,054.00","10,323.2",10539950008,3108,157554,574883,3306,-22,FALSE,FALSE
46,CCH,LON:CCH,Coca-Cola HBC AG,FTSE 100,"2,536.00","9,297.8",9943283998,2728,125119,840510,2748,6,FALSE,FALSE
47,SKG,LON:SKG,Smurfit Kappa Group,FTSE 100,"3,466.00","9,023.9",#N/A,"3745,4",287766,410101,"3845,94","7,21",FALSE,FALSE
48,IAG,LON:IAG,International Consolidated Airlines Group SA,FTSE 100,175.95,"8,650.7",9083387855,"185,1",20029326,18631171,"4,43","0,16",FALSE,FALSE
50,ADM,LON:ADM,Admiral Group,FTSE 100,"2,799.00","8,573.5",8276356274,2705,138856,425805,"87,3","-0,72",FALSE,FALSE
51,WPP,LON:WPP,WPP Group,FTSE 100,796.60,"8,562.2",9152600494,"848,2",367613,2727983,"57,3","0,33",FALSE,FALSE
52,HLMA,LON:HLMA,Halma,FTSE 100,"2,236.00","8,488.9",8857124849,2333,121223,462117,"2520,95",25,FALSE,FALSE
53,MRO,LON:MRO,Melrose Industries,FTSE 100,635.80,"8,422.6",8001854393,"613,4",1771068,4257697,"30,06","-0,01",FALSE,FALSE
,WISE,LON:WISE,Wise,,804.50,"8,244.3",8024003910,783,123501,1152085,33,"0,18",FALSE,FALSE
54,ITRK,LON:ITRK,Intertek Group,FTSE 100,"4,990.00","8,053.5",7927629072,4914,312264,308831,5105,-2,FALSE,FALSE
,S32,LON:S32,South32 Ltd,,171.10,"7,749.6",16395909821,"191,06",108504,448472,"219,5","-0,1",FALSE,FALSE
55,SVT,LON:SVT,Severn Trent,FTSE 100,"2,475.00","7,402.5",7848302656,"2624,51",198503,690210,"14,32",0,FALSE,FALSE
56,PSH,LON:PSH,Pershing Square Holdings Ltd,FTSE 100,"4,008.00","7,374.8",10980499475,4148,72969,153681,4224,6,FALSE,FALSE
57,CNA,LON:CNA,Centrica,FTSE 100,133.30,"7,135.9",7392377230,"139,05",4300704,30665037,"47,37","-0,05",FALSE,FALSE
59,PSON,LON:PSON,Pearson,FTSE 100,"1,014.50","6,974.8",6664294394,"988,2",1031690,1440291,"1046,5",4,FALSE,FALSE
60,SPX,LON:SPX,Spirax-Sarco Engineering,FTSE 100,"9,345.00","6,893.4",6809529415,9230,17209,199597,"0,04",0,FALSE,FALSE
61,CRDA,LON:CRDA,Croda International,FTSE 100,"4,888.00","6,825.4",6730426280,"4812,04",91329,378825,6864,"-2,96",FALSE,FALSE
62,MNDI,LON:MNDI,Mondi,FTSE 100,"1,500.00","6,621.2",7023339468,"1592,5",469712,1861866,1618,"12,5",FALSE,FALSE
63,SBRY,LON:SBRY,Sainsbury (J),FTSE 100,269.00,"6,372.5",6655430785,"279,5",3158968,5845770,"311,16","0,2",FALSE,FALSE
65,AUTO,LON:AUTO,Auto Trader Group,FTSE 100,695.00,"6,284.3",6797560991,"756,6",534925,1616382,"0,23",0,FALSE,FALSE
66,SDR,LON:SDR,Schroders,FTSE 100,373.60,"6,022.8",6045266250,"375,4",570310,2064884,"0,1",0,FALSE,FALSE
67,CTEC,LON:CTEC,ConvaTec Group,FTSE 100,286.60,"5,874.7",5375083540,"263,2",1425092,4783658,"15,74","0,38",FALSE,FALSE
68,ICG,LON:ICG,Intermediate Capital Group,FTSE 100,"2,000.00","5,812.3",6365616605,2192,144058,830604,"14,22",0,FALSE,FALSE
69,WTB,LON:WTB,Whitbread,FTSE 100,"3,128.00","5,782.2",5752482359,"3129,5",207269,744425,3714,21,FALSE,FALSE
70,SMIN,LON:SMIN,Smiths Group,FTSE 100,"1,635.00","5,682.3",5947141994,1718,286987,890343,"1776,5",-15,FALSE,FALSE
71,DCC,LON:DCC,DCC,FTSE 100,"5,525.00","5,461.6",5649419803,5795,151027,185229,5905,"-145,59",FALSE,FALSE
72,ENT,LON:ENT,Entain,FTSE 100,846.80,"5,409.4",4967261980,"779,2",910728,1885955,"1493,5","3,47",FALSE,FALSE
73,BME,LON:BME,B&M European Value Retail SA,FTSE 100,524.20,"5,256.6",5523367197,551,1730868,2667900,"42,86","0,1",FALSE,FALSE
74,WEIR,LON:WEIR,Weir Group,FTSE 100,"2,012.00","5,223.4",5425890800,2090,181749,795479,2126,0,FALSE,FALSE
75,MKS,LON:MKS,Marks & Spencer Group,FTSE 100,262.90,"5,188.0",5624682042,"275,6",2387755,7764654,"293,2","0,7",FALSE,FALSE
76,FCIT,LON:FCIT,F&C Investment Trust,FTSE 100,988.00,"5,011.0",5211384695,1040,167621,444204,1058,-2,FALSE,FALSE
77,BKG,LON:BKG,Berkeley Group Holdings,FTSE 100,"4,682.00","4,967.5",5513531580,5215,103343,220540,"5290,5",5,FALSE,FALSE
78,PHNX,LON:PHNX,Phoenix Group Holdings,FTSE 100,492.00,"4,927.6",5092937685,"508,36",1320392,3750810,587,"-0,5",FALSE,FALSE
79,HWDN,LON:HWDN,Howden Joinery Group,FTSE 100,881.00,"4,833.8",5028023820,913,333556,1369310,930,5,FALSE,FALSE
80,SMDS,LON:SMDS,DS Smith,FTSE 100,349.80,"4,832.3",5142190535,"372,8",2478761,12582790,415,"6,1",FALSE,FALSE
